,question,answer,max_points,keywords,classification,original_question,original_answer
0,Was ist Data Science?,"Data Science ist ein interdisziplinäres Feld, das wissenschaftliche Methoden, Prozesse, Algorithmen und Systeme nutzt, um Wissen und Erkenntnisse aus Daten zu gewinnen.",5,interdisziplinär; wissenschaftliche Methoden; Algorithmen; Systeme; Wissen,Hauptfrage,What is data science?,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowledge and insights from data."
1,Was sind die wesentlichen Schritte im Datenwissenschaftsprozess?,"Die wesentlichen Schritte umfassen typischerweise Problemdefinition, Datenerhebung, Datenvorbereitung, explorative Datenanalyse, Modellierung, Bewertung und Deployment.",6,Problemdefinition; Datenerhebung; Datenvorbereitung; explorative Datenanalyse; Modellierung; Bewertung; Deployment,Aufzählung,What are the key steps in the data science process?,"The key steps typically include problem definition, data collection, data preparation, exploratory data analysis, modeling, evaluation, and deployment."
2,Was ist der Unterschied zwischen überwachtem und unüberwachtem Lernen?,"Überwachtes Lernen beinhaltet das Trainieren eines Modells mit beschrifteten Daten, wobei der Algorithmus die Beziehung zwischen Eingangsmerkmalen und Zielbeschriftungen lernt. Unüberwachtes Lernen beschäftigt sich mit unbeschrifteten Daten und zielt darauf ab, versteckte Muster oder Strukturen innerhalb der Daten zu finden.",5,überwachtes Lernen; beschriftete Daten; Eingangsmerkmale; Zielbeschriftungen; unüberwachtes Lernen; unbeschriftete Daten; Muster; Strukturen,Hauptfrage,What is the difference between supervised and unsupervised learning?,"Supervised learning involves training a model on labeled data, where the algorithm learns the relationship between input features and target labels. Unsupervised learning deals with unlabeled data and aims to find hidden patterns or structures within the data."
3,Erkläre das Bias-Variance-Dilemma.,"Das Bias-Variance-Dilemma ist das Gleichgewicht zwischen dem Fehler, der durch Verzerrung (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",5,Bias; Variance; Tradeoff; Underfitting; Overfitting,Hauptfrage,Explain the bias-variance tradeoff.,The bias-variance tradeoff is the balance between the error introduced by bias (underfitting) and the error introduced by variance (overfitting) when building a machine learning model.
4,Was ist Feature Engineering?,"Feature engineering ist der Prozess der Auswahl, Transformation und Erstellung von Merkmalen aus rohen Daten zur Verbesserung der Modellleistung.",4,Feature Engineering; Auswahl; Transformation; Erstellung; rohe Daten; Modellleistung,Hauptfrage,What is feature engineering?,"Feature engineering is the process of selecting, transforming, and creating features from raw data to improve model performance."
5,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationstechniken wie Mittelwert-, Median- oder Modus-Imputation, die Verwendung von Vorhersagemodellen zur Schätzung fehlender Werte oder durch das Löschen von Zeilen oder Spalten mit fehlenden Werten behandelt werden, abhängig von der Größe und Natur des Datensatzes.",6,Imputationstechniken; Mittelwert-Imputation; Median-Imputation; Modus-Imputation; Vorhersagemodelle; Löschen,Hauptfrage,How do you handle missing data in a dataset?,"Missing data can be handled by imputation techniques such as mean, median, or mode imputation, using predictive models to estimate missing values, or by deleting rows or columns with missing values, depending on the dataset size and nature."
6,Was ist Kreuzvalidierung?,"Kreuzvalidierung ist eine Technik, die verwendet wird, um die Leistung eines prädiktiven Modells zu bewerten, indem die Daten in mehrere Untermengen aufgeteilt werden.",5,Technik; prädiktives Modell; Leistungsbewertung; Datenaufteilung,Hauptfrage,What is cross-validation?,Cross-validation is a technique used to assess the performance of a predictive model by splitting the data into multiple subsets.
7,Erläutern Sie das Konzept des Overfittings.,"Overfitting tritt auf, wenn ein Modell die Trainingsdaten zu gut lernt und dabei Rauschen oder zufällige Schwankungen in den Daten erfasst, anstatt das zugrunde liegende Muster.",5,Overfitting; Modell; Trainingsdaten; Rauschen; zugrunde liegendes Muster,Hauptfrage,Explain the concept of overfitting.,"Overfitting occurs when a model learns the training data too well, capturing noise or random fluctuations in the data instead of the underlying pattern."
8,Welche Algorithmen werden häufig in der überwachten Lernmethode eingesetzt?,"Gängige Algorithmen sind lineare Regression, logistische Regression, Entscheidungsbäume, Random Forests, Support Vector Machines und neuronale Netze.",3,lineare Regression; logistische Regression; Entscheidungsbäume; Random Forests; Support Vector Machines; neuronale Netze,Aufzählung,What are some common algorithms used in supervised learning?,"Common algorithms include linear regression, logistic regression, decision trees, random forests, support vector machines, and neural networks."
9,Was ist Dimensionsreduktion?,"Dimensionsreduktion ist der Prozess, die Anzahl der Eingangsvariablen in einem Datensatz zu verringern, indem sie in einen niedrigdimensionalen Raum transformiert werden und dabei wichtige Informationen erhalten bleiben.",6,Dimensionsreduktion; Eingangsvariablen; Datensatz; niedrigdimensionaler Raum; wichtige Informationen,Hauptfrage,What is dimensionality reduction?,Dimensionality reduction is the process of reducing the number of input variables in a dataset by transforming them into a lower-dimensional space while preserving important information.
