	id	question_de	answer_de	max_points	keywords	question_type	question_en	answer_en	translation_similarity_question	translation_similarity_answer	len_answer_en	len_answer_de	len_answer_ratio	len_question_en	len_question_de	len_question_ratio	answer_length	points_z	to_review	student_answer	human_score	human_feedback_bullets	human_feedback	rueckfrage	transkript_stt_model	error_type
101	101	Welchen Zweck erfüllt die Hauptkomponentenanalyse (PCA) bei der Reduktion der Dimensionalität?	Die Hauptkomponentenanalyse (PCA) wird verwendet, um die Dimensionalität eines Datensatzes zu reduzieren, indem die ursprünglichen Merkmale in eine neue Menge orthogonaler Hauptkomponenten transformiert werden. Diese Hauptkomponenten erfassen die maximale Varianz im Daten.	6	"Hauptkomponentenanalyse; Dimensionalität reduzieren; orthogonale Hauptkomponenten; maximale Varianz"	Hauptfrage	What is the purpose of principal component analysis (PCA) in dimensionality reduction?	Principal Component Analysis (PCA) is used to reduce the dimensionality of a dataset by transforming the original features into a new set of orthogonal principal components, which capture the maximum variance in the data.	94.277.215	9.461.242	221	273	12.352.941.176.470.500	86	94	10.930.232.558.139.500	221	9.860.485.948.630.900	FALSE	PCA wird verwendet, um die Werte der Variablen zu addieren und Vorhersagen zu treffen.	0	"1) Die Antwort ist fachlich falsch; PCA dient nicht dazu, Werte zu addieren oder Vorhersagen zu treffen. 
2) Relevante Schlüsselbegriffe wie Dimensionalität, Hauptkomponenten, maximale Varianz, orthogonale Transformation werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Reduktion der Dimensionalität, Transformation in Hauptkomponenten, Erfassung der Varianz) werden nicht behandelt.
4) Die Antwort vermischt Konzepte der Summenbildung und Vorhersage mit PCA, die nicht zutreffend sind. 
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: PCA dient nicht dazu, Variablenwerte zu addieren oder Vorhersagen zu treffen. Relevante Begriffe wie Dimensionalität, Hauptkomponenten, maximale Varianz und orthogonale Transformation werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	PCA wird verwendet, um die Werte der Variablen zu addieren und vorhersagen zu treffen.	0
102	102	Was ist der Unterschied zwischen k-Means und hierarchischer Clusteranalyse?	Die K-Means-Clusteranalyse teilt die Daten in k Cluster auf, indem sie die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Die hierarchische Clusteranalyse erstellt hingegen eine baumartige Hierarchie von Clustern, indem sie rekursiv Clusters basierend auf Nähe zusammenführt oder teilt.	4	"k-Means; hierarchische Clusteranalyse; Minimierung der Summe der quadrierten Abweichungen; baumartige Hierarchie; rekursive Zusammenführung/Splitting"	Hauptfrage	What is the difference between k-means and hierarchical clustering?	K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity.	92.415.226	8.932.445	239	307	1.284.518.828.451.880	67	75	11.194.029.850.746.200	239	-11.344.860.177.457.000	FALSE	"Die K-Means-Clusteranalyse gruppiert Datenpunkte in eine vorgegebene Anzahl von Clustern, indem sie die innerhalb der Cluster liegenden quadrierten Abstände zu den jeweiligen Zentroiden minimiert.
Die hierarchische Clusteranalyse hingegen ordnet die Daten schrittweise in einer hierarchischen Struktur an, indem sie Cluster auf Basis eines Distanzmaßes sukzessive zusammenführt oder aufteilt."	3,5	"1) Fachlich ist alles korrekt. Nur es wurde ausgelassen, das bei k-Means die Cluster in k Cluster aufgeteilt werden. Daher einen halben Punkt Abzug
2) Schlüsselbegriffe werden alle korrekt genannt.
3) Nur die Anzahl der Cluster bei k-Means wurde ausgelassen. 
4) Konzepte werden klar unterschieden.
5) Antwort ist logisch aufgebaut, nachvollziehbar formuliert und für den Prüfer gut verständlich."	Die Antwort ist weitgehend korrekt und verständlich, jedoch wurde nicht erwähnt, dass K-Means die Daten in k Cluster aufteilt. Deshalb wurde ein halber Punkt abgezogen.	2	Die K means Cluster Analyse gruppiert Datenpunkte in eine vorgegebene Anzahl von Clustern, indem sie die innerhalb der Cluster liegenden quadrierten Abstände zu den jeweiligen Centro Iden minimiert. Die hierarchische Clusteranalyse hingegen ordnet die Daten schrittweise in einer hierarchischen Struktur an, indem sie die Cluster auf Basis eines Distanzmaßes sukzessive zusammenführt oder aufteilt.	1
105	105	Was ist der Unterschied zwischen Bag-of-Words und Wortembeddings in der NLP?	Bag-of-Words repräsentiert Texte als Sammlung von Wortzählungen oder -häufigkeiten, ohne die Wortreihenfolge und Grammatik zu berücksichtigen. Währenddessen repräsentieren Wortembeddings Wörter als dichte Vektoren im kontinuierlichen Vektorraum und erfassen semantische Beziehungen zwischen den Wörtern.	6	"Bag-of-Words; Wortzählungen; Kontextinformationen; Semantik; Vektoren; Vektorraum"	Hauptfrage	What is the difference between bag-of-words and word embeddings in NLP?	Bag-of-words represents text as a collection of word counts or frequencies, ignoring word order and grammar, while word embeddings represent words as dense vectors in a continuous vector space, capturing semantic relationships between words.	9.624.336	93.524.086	241	303	12.572.614.107.883.800	71	76	10.704.225.352.112.600	241	9.860.485.948.630.900	FALSE	Bei Bag-of-Words werden aus Texten die Häufigkeiten der auftretenden Wörter gezählt und gespeichert.	2	"1) Bag of words wurde korrekt genannt. Wortembeddings jedoch nicht.
2) 2 der Schlüsselbegriffe wurden korrekt genannt. Die 4 übrigen jedoch nicht.
3) Wordembeddings bleiben unbeantwortet. Bag of words wurden korrekt erklärt.
4) nicht anwendbar 
5) Die Antwort ist logisch aufgebaut, nachvollziehbar formuliert und gut verständlich"	Die Antwort beschreibt korrekt, wie Bag-of-Words Worthäufigkeiten erfasst, geht jedoch nicht auf Wortembeddings oder semantische Beziehungen ein. Deshalb nur Teilpunkte.	2	Bei back of words. Wir hatten aus Texten die Häufigkeiten der auftretenden Wörter gezählt und gespeichert.	1
109	109	Was ist der Unterschied zwischen Deep Learning und traditionellen Machine-Learning-Algorithmen?	Deep Learning umfasst neuronale Netze mit mehreren Schichten, die hierarchische Repräsentationen von Daten lernen können, während traditionelle Machine-Learning-Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.	6	"Deep Learning; neuronale Netze; mehrere Schichten; hierarchische Repräsentationen; traditionelle Machine-Learning-Algorithmen; handgefertigte Merkmale; einfache Modelle"	Hauptfrage	What is the difference between deep learning and traditional machine learning algorithms?	Deep learning involves neural networks with multiple layers that can learn hierarchical representations of the data, while traditional machine learning algorithms typically use handcrafted features and simpler models.	9.750.378	9.360.634	217	245	11.290.322.580.645.100	89	95	10.674.157.303.370.700	217	9.860.485.948.630.900	FALSE	Deep Learning umfasst neuronale Netze mit genau einer Schicht, die hierarchische Repräsentationen von Daten lernen können, während traditionelle Machine-Learning-Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.	5	"1) Alles korrekt, außer das es nicht immer genau eine Schicht sein muss. Bei neuronalen Netzen kann es auch mehrere Schichten geben. 
2) Schlüsselbegriffe waren alle korrekt und im richtigen Kontext? 
3) Alle Aspekte der Fragestellung wurden beantwortet.
4) Die angesprochenen Konzepte werden klar voneinander unterschieden und nicht miteinander vermischt
5) Die Antwort ist logisch aufgebaut, nachvollziehbar formuliert und gut verständlich"	Die Antwort enthält einen wesentlichen Fehler: Deep Learning umfasst neuronale Netze mit mehreren Schichten, nicht nur einer. Der Rest der Aussage ist korrekt. Daher Punkteabzug.	3	Deep Learning umfasst neuronale Netze mit genau einer Schicht. Die hierarchischen Repräsentationen von Daten lernen können, während traditionelle Maschine Learning Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.	0
111	111	Was ist der Unterschied zwischen Convolutional Neural Networks (CNNs) und Recurrent Neural Networks (RNNs)?	Convolutional Neural Networks (CNNs) sind gut geeignet für die Verarbeitung von gitterförmigen Daten wie Bildern, während rekursive neuronale Netzwerke (RNNs) entwickelt wurden, um sequenzielle Daten mit zeitlichen Abhängigkeiten wie Text oder Zeitreihen zu verarbeiten.	4	"Convolutional Neural Networks; Recurrent Neural Networks; gitterförmige Daten; sequenzielle Daten; zeitliche Abhängigkeiten"	Hauptfrage	What is the difference between convolutional neural networks (CNNs) and recurrent neural networks (RNNs)?	Convolutional neural networks (CNNs) are well-suited for processing grid-like data such as images, while recurrent neural networks (RNNs) are designed to handle sequential data with temporal dependencies such as text or time series.	99.197.555	95.908.827	232	270	11.637.931.034.482.700	105	107	1.019.047.619.047.610	232	-11.344.860.177.457.000	FALSE	Convolutional Neural Networks eignen sich vor allem für Bilddaten, während rekursive neuronale Netzwerke zur Verarbeitung von zeitlich aufeinanderfolgenden Daten wie Text oder Zeitreihen verwendet werden.	3	"1) Der Sachverhalt wird fachlich korrekt dargestellt, wesentliche Fehler oder falsche Zusammenhänge liegen nicht vor. 
2) Die zentralen Begriffe (CNNs, rekursive neuronale Netzwerke, Bilddaten, sequenzielle Daten) werden korrekt, aber vereinfacht verwendet. 
3) Die grundlegenden Einsatzgebiete werden genannt, jedoch fehlen weiterführende Aspekte wie gitterförmige Strukturen oder zeitliche Abhängigkeiten. 
4) CNNs und RNNs werden klar voneinander abgegrenzt und nicht miteinander vermischt.
5) Die Antwort ist logisch aufgebaut, kurz und für den Prüfer gut verständlich formuliert."	Die Kernaussage der Musterlösung wird korrekt wiedergegeben (CNNs → Bilddaten, RNNs → sequenzielle Daten). Allerdings fehlen die genaueren fachlichen Begründungen (gitterförmige Daten, zeitliche Abhängigkeiten), weshalb ein kleiner Präzisionsverlust vorliegt, aber kein inhaltlicher Fehler.	2	Convolutional Neurol Networks eignen sich vor allem Für Bilddaten. Während rekursive neuronale Netzwerke zur Verarbeitung von zeitlich aufeinander folgenden Daten wie Text oder Zeitreihen verwendet werden.	0
114	114	Welchen Zweck hat Dropout-Regularisierung in neuronalen Netzen?	Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um Überanpassung zu verhindern. Dabei werden während des Trainings zufällig ein Bruchteil der Neuronen ausgeschaltet. Dies zwingt das Netzwerk dazu, robustere Repräsentationen zu lernen und reduziert die Koadaptation zwischen den Neuronen.	6	"Dropout-Regularisierung; Überanpassung; Neuronen ausschalten; robuste Repräsentationen; Koadaptation"	Hauptfrage	What is the purpose of dropout regularization in neural networks?	Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training. It forces the network to learn more robust representations and reduces co-adaptation between neurons.	8.061.751	93.275.297	250	322	1.288	65	63	9.692.307.692.307.690	250	9.860.485.948.630.900	FALSE	Dropout verhindert Überanpassung, indem während des Trainings zufällig Neuronen deaktiviert werden, sodass das Netzwerk robustere Repräsentationen lernt.	5	"1) Der Sachverhalt ist korrekt dargestellt, es liegen keine wesentlichen Fehler oder falschen Zusammenhänge vor. 
2) Die zentralen Begriffe (Dropout, Neuronen, Überanpassung, Repräsentationen) werden korrekt und im richtigen Kontext verwendet.
3) Ein zentrales Detail, dass Dropout die Koadaptation zwischen Neuronen reduziert, fehlt, daher sind nicht alle Aspekte vollständig abgedeckt.
4) Es werden keine anderen Konzepte vermischt; Dropout wird klar als eigene Technik dargestellt.
5) Die Antwort ist logisch aufgebaut, klar und für den Prüfer gut nachvollziehbar."	Die Antwort ist fachlich korrekt, gut verständlich und logisch aufgebaut. Ein zentrales Detail zur Reduktion der Koadaptation fehlt, daher leichter Punktabzug.	2	Drop out verhindert über Anpassungen in dem während des Trainings zufällig Neuronen deaktiviert werden, sodass das Netzwerk robustere Repräsentation lernt.	0
118	118	Was ist der Zweck des verstärkenden Lernens in der maschinellen Intelligenz?	Verstärkendes Lernen ist ein Paradigma des maschinellen Lernens, bei dem ein Agent Entscheidungen durch Interaktion mit einer Umgebung lernt, um kumulative Belohnungen zu maximieren. Es wird häufig in Situationen eingesetzt, in denen Handlungen zukünftige Zustände beeinflussen und der Agent durch Versuch und Irrtum lernt.	4	"verstärkendes Lernen; Entscheidungsfindung; Interaktion mit einer Umgebung; kumulative Belohnungen; Versuch und Irrtum"	Hauptfrage	What is the purpose of reinforcement learning in machine learning?	Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards. It is commonly used in settings where actions influence future states and the agent learns through trial and error.	76.304.305	86.467.975	276	323	11.702.898.550.724.600	66	76	11.515.151.515.151.500	276	-11.344.860.177.457.000	FALSE	Verstärkendes Lernen ist ein Ansatz des maschinellen Lernens, bei dem ein Agent durch Interaktion mit einer Umgebung lernt, Entscheidungen zu treffen, um die Gesamtbelohnung zu maximieren. Es kommt besonders dann zum Einsatz, wenn Handlungen zukünftige Zustände beeinflussen und der Agent durch Ausprobieren und Lernen aus Erfahrung trainiert.	4	"1) Der Sachverhalt ist fachlich korrekt dargestellt, es liegen keine wesentlichen Fehler oder falschen Zusammenhänge vor.
2) Zentrale Begriffe wie Verstärkendes Lernen, Agent, Umgebung, Belohnung, Versuch-und-Irrtum werden korrekt und im richtigen Kontext verwendet.
3) Alle wesentlichen Aspekte der Fragestellung sind abgedeckt: Lernparadigma, Ziel (kumulative Belohnung), Interaktion mit der Umgebung und Lernprinzip.
4) Es werden keine anderen Konzepte vermischt; der Fokus liegt klar auf Verstärkendem Lernen.
5) Die Antwort ist logisch aufgebaut, verständlich formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt Verstärkendes Lernen fachlich korrekt, verwendet alle relevanten Begriffe im richtigen Kontext und deckt alle wesentlichen Aspekte ab. Die Formulierung ist logisch und gut verständlich, daher volle Punkte.	0	Verstärkendes lernen ist ein Ansatz des maschinellen Lernens, bei dem ein Agent durch Interaktion mit einer Umgebung lernt, Entscheidungen zu treffen, um die gesamt Belohnung zu maximieren. Es kommt besonders dann zum Einsatz, wenn Handlungen zukünftige Zustände beeinflussen und der Agent durch Ausprobieren und Lernen aus Erfahrungen trainiert.	0
119	119	Was ist der Unterschied zwischen Q-Learning und Policy Gradient Methoden im Reinforcement Learning?	Q-Learning ist ein modellfreies Reinforcement-Learning-Algorithmus, der die optimale Aktion-Auswahl-Politik lernt, indem er iterativ eine Q-Wertefunktion aktualisiert. Im Gegensatz dazu parametrisieren Policy Gradient Methoden direkt die Politik und passen die Parameter der Politik basierend auf den Ableitungen der erwarteten Belohnungen an.	5	"Q-Learning; modellfrei; Q-Wertefunktion; Policy Gradient; parametrisieren; erwartete Belohnungen"	Hauptfrage	What is the difference between Q-learning and policy gradient methods in reinforcement learning?	Q-learning is a model-free reinforcement learning algorithm that learns the optimal action-selection policy by iteratively updating a Q-value function, while policy gradient methods directly parameterize the policy and update the policy parameters based on gradients of expected rewards.	9.632.567	96.482.766	287	343	11.951.219.512.195.100	96	99	103.125	287	-7.421.871.144.130.820	FALSE	Q-Learning ist ein modellfreier Reinforcement-Learning-Algorithmus, der die optimale Aktionsauswahl durch iteratives Aktualisieren einer Q-Wertefunktion erlernt. Im Gegensatz dazu parametrisieren Policy-Gradient-Methoden direkt die Policy und passen deren Parameter basierend auf den Gradienten der erwarteten Belohnung an.	4	"1) Der Sachverhalt ist fachlich korrekt, es liegen keine Fehler oder falschen Zusammenhänge vor.
2) Zentrale Begriffe wie Q-Learning, modellfrei, Q-Wertefunktion, Policy-Gradient, Policy, Gradienten, erwartete Belohnung werden korrekt und im richtigen Kontext verwendet. 
3) Alle wesentlichen Aspekte sind abgedeckt: Funktionsweise von Q-Learning, direkte Parametrisierung bei Policy-Gradienten, Lernprinzip basierend auf Belohnungen.
4) Q-Learning und Policy-Gradient-Methoden werden klar unterschieden und nicht vermischt.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt Q-Learning und Policy-Gradient-Methoden fachlich korrekt, verwendet alle Schlüsselbegriffe präzise, unterscheidet die Konzepte klar und ist logisch sowie gut verständlich. Volle Punkte.	0	Q Learning ist ein Modell freier Reinforcements Learning Algorithmus, der die optimale Aktionsauswahl durch Iteratives aktualisieren einer q Werte Funktion erlernt. Im Gegensatz dazu parametrisieren Policy gradients Methoden direkt die Policy und passenderen Parameter basierend auf den Gradienten der erwarteten Belohnung an.	0
122	122	Was ist der Unterschied zwischen univariater und bivariater Analyse in der EDA?	Univariate Analyse untersucht die Verteilung und deskriptive Statistiken einer einzelnen Variablen, während bivariate Analyse die Beziehung zwischen zwei Variablen erforscht.	4	"univariate Analyse; bivariate Analyse; Verteilung; deskriptive Statistiken; Beziehung"	Hauptfrage	What is the difference between univariate and bivariate analysis in EDA?	Univariate analysis examines the distribution and summary statistics of a single variable, while bivariate analysis explores the relationship between two variables.	97.045.743	9.593.759	164	174	10.609.756.097.560.900	72	79	10.972.222.222.222.200	164	-11.344.860.177.457.000	FALSE	Die univariate Analyse betrachtet die Verteilung und deskriptiven Kennzahlen einer einzelnen Variablen, während die bivariate Analyse die Zusammenhänge zwischen zwei Variablen untersucht.	4	"1) Die Antwort ist fachlich korrekt; es liegen keine Fehler oder falschen Zusammenhänge vor. 
2) Zentrale Begriffe wie univariate Analyse, bivariate Analyse, Verteilung, deskriptive Kennzahlen, Zusammenhänge werden korrekt und im richtigen Kontext verwendet.
3) Alle wesentlichen Aspekte sind abgedeckt: Betrachtung einer einzelnen Variablen vs. Beziehung zwischen zwei Variablen, Fokus auf Verteilung/deskriptive Statistik und Zusammenhänge.
4) Univariate und bivariate Analysen werden klar unterschieden und nicht vermischt.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt univariate und bivariate Analysen fachlich korrekt, verwendet alle relevanten Begriffe im richtigen Kontext, unterscheidet die Konzepte klar und ist logisch sowie verständlich. Volle Punkte.	0	Die univariate Analyse. Betrachtet die Verteilung und deskriptive Kennzahlen einer einzelnen Variablen, während die bivariate Analyse die Zusammenhänge zwischen 2 Variablen untersucht.	0
123	123	Was ist der Zweck der Datenvisualisierung in EDA?	Datenvisualisierung in EDA hilft, die Struktur, Muster und Beziehungen in den Daten zu erkunden und zu verstehen. Sie liefert Einsichten, die sich möglicherweise nicht aus rohen Daten oder zusammenfassenden Statistiken allein ergeben.	6	"Datenvisualisierung; EDA; Struktur; Muster; Beziehungen; Erkunden; Verstehen; Einsichten"	Hauptfrage	What is the purpose of data visualization in EDA?	Data visualization in EDA helps to explore and understand the structure, patterns, and relationships in the data. It provides insights that may not be apparent from raw data or summary statistics alone.	97.600.013	9.667.087	202	234	11.584.158.415.841.500	49	49	1.0	202	9.860.485.948.630.900	FALSE	Datenvisualisierung zeigt Muster und Beziehungen in den Daten.	3	"1) Die Kernidee ist korrekt: Datenvisualisierung zeigt Muster und Beziehungen. Es liegen keine falschen Zusammenhänge vor. 
2) Begriffe wie „Datenvisualisierung“, „Muster“ und „Beziehungen“ werden korrekt verwendet, weitere wichtige Begriffe wie „Struktur“ oder „Einsichten“ fehlen.
3) Viele zentrale Punkte bleiben unbeantwortet, insbesondere die Exploration der Datenstruktur und die zusätzlichen Einsichten über reine Statistiken hinaus. 
4) Es werden keine anderen Konzepte vermischt; der Fokus bleibt klar auf der Visualisierung.
5) Die Antwort ist kurz, logisch und verständlich, aber stark verkürzt."	Die Antwort nennt korrekt, dass Visualisierung Muster und Beziehungen zeigt, wichtige Aspekte wie Datenstruktur und zusätzliche Einsichten fehlen jedoch, daher nur Teilpunkte.	2	Datenvisualisierung zeigt Muster und Beziehungen in den Daten.	0
