,question,answer,max_points,keywords,classification,original_question,original_answer
0,Was ist Data Science?,"Data Science ist ein interdisziplinäres Feld, das wissenschaftliche Methoden, Prozesse, Algorithmen und Systeme verwendet, um Wissen und Erkenntnisse aus Daten zu gewinnen.",6,interdisziplinär; wissenschaftliche Methoden; Prozesse; Algorithmen; Systeme; Wissen; Erkenntnisse,Hauptfrage,What is data science?,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowledge and insights from data."
1,Welche sind die Schlüsselschritte im Data-Science-Prozess?,"Die Schlüsselschritte umfassen typischerweise Problemdefinition, Datensammlung, Datenbereinigung, explorative Datenanalyse, Modellierung, Evaluation und Deployment.",4,Problemdefinition; Datensammlung; Datenbereinigung; explorative Datenanalyse; Modellierung; Evaluation; Deployment,Aufzählung,What are the key steps in the data science process?,"The key steps typically include problem definition, data collection, data preparation, exploratory data analysis, modeling, evaluation, and deployment."
2,Was ist der Unterschied zwischen überwachtem und unüberwachtem Lernen?,"Überwachtes Lernen beinhaltet das Trainieren eines Modells mit gelabelten Daten, wobei der Algorithmus die Beziehung zwischen Eingabemerkmale und Zielklassen lernt. Unüberwachtes Lernen befasst sich mit ungelabelten Daten und zielt darauf ab, versteckte Muster oder Strukturen innerhalb der Daten zu finden.",6,überwachtes Lernen; unüberwachtes Lernen; gelabelte Daten; ungelabelte Daten; Beziehung zwischen Eingabemerkmale und Zielklassen; versteckte Muster,Hauptfrage,What is the difference between supervised and unsupervised learning?,"Supervised learning involves training a model on labeled data, where the algorithm learns the relationship between input features and target labels. Unsupervised learning deals with unlabeled data and aims to find hidden patterns or structures within the data."
3,Erkläre das Bias-Variance-Trade-off.,"Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",6,Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen,Hauptfrage,Explain the bias-variance tradeoff.,The bias-variance tradeoff is the balance between the error introduced by bias (underfitting) and the error introduced by variance (overfitting) when building a machine learning model.
4,Was ist Feature Engineering?,"Feature Engineering ist der Prozess, Features aus Rohdaten durch Auswahl, Transformation und Erstellung zu optimieren, um die Modellleistung zu verbessern.",6,Feature Engineering; Rohdaten; Auswahl; Transformation; Erstellung; Modellleistung,Hauptfrage,What is feature engineering?,"Feature engineering is the process of selecting, transforming, and creating features from raw data to improve model performance."
5,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.",6,Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten,Hauptfrage,How do you handle missing data in a dataset?,"Missing data can be handled by imputation techniques such as mean, median, or mode imputation, using predictive models to estimate missing values, or by deleting rows or columns with missing values, depending on the dataset size and nature."
6,Was ist Kreuzvalidierung?,"Kreuzvalidierung ist eine Technik, die zur Bewertung der Leistung eines Vorhersagemodells verwendet wird, indem die Daten in mehrere Untermengen aufgeteilt werden.",4,Kreuzvalidierung; Leistungsbewertung; Vorhersagemodell; Datenaufteilung,Hauptfrage,What is cross-validation?,Cross-validation is a technique used to assess the performance of a predictive model by splitting the data into multiple subsets.
7,Erläutern Sie das Konzept des Overfitting.,"Overfitting tritt auf, wenn ein Modell die Trainingsdaten zu gut lernt und dabei Rauschen oder zufällige Schwankungen in den Daten erfasst, anstatt den zugrunde liegenden Muster.",5,Overfitting; Modell; Trainingsdaten; Rauschen; zugrunde liegende Muster,Hauptfrage,Explain the concept of overfitting.,"Overfitting occurs when a model learns the training data too well, capturing noise or random fluctuations in the data instead of the underlying pattern."
8,Welche gängigen Algorithmen werden in der überwachten Lernmethodik verwendet?,"Gängige Algorithmen sind die lineare Regression, logistische Regression, Entscheidungsbäume, Random Forests, Support Vector Machines und neuronale Netze.",3,lineare Regression; logistische Regression; Entscheidungsbäume; Random Forests; Support Vector Machines; neuronale Netze,Aufzählung,What are some common algorithms used in supervised learning?,"Common algorithms include linear regression, logistic regression, decision trees, random forests, support vector machines, and neural networks."
9,Was ist Dimensionsreduktion?,"Dimensionsreduktion ist der Prozess der Reduzierung der Anzahl von Eingangsvariablen in einem Datensatz, indem diese in einen niedrigerdimensionalen Raum transformiert werden, während wichtige Informationen erhalten bleiben.",5,Dimensionsreduktion; Eingangsvariablen; Datensatz; Niedrigerdimensionaler Raum; Wichtige Informationen,Hauptfrage,What is dimensionality reduction?,Dimensionality reduction is the process of reducing the number of input variables in a dataset by transforming them into a lower-dimensional space while preserving important information.
10,Was ist Regularisierung in der maschinellen Lern?,"Regularisierung ist eine Technik, die verwendet wird, um Überanpassung zu verhindern, indem ein Strafterm zur Zielfunktion des Modells hinzugefügt wird.",6,Regularisierung; Überanpassung; Strafterm; Zielfunktion,Hauptfrage,What is regularization in machine learning?,Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function.
11,Was ist Ensemble Learning?,"Ensemble Learning ist eine Technik, die mehrere Machine-Learning-Modelle kombiniert, um Leistung und Robustheit zu verbessern.",4,Ensemble Learning; Kombination von Modellen; Leistungsverbesserung; Robustheit,Hauptfrage,What is ensemble learning?,Ensemble learning is a technique that combines multiple machine learning models to improve performance and robustness.
12,Was ist die ROC-Kurve?,"Die Receiver Operating Characteristic (ROC) Kurve ist ein grafischer Plot, der die Leistung eines binären Klassifikationsmodells bei unterschiedlichen Schwellenwerten darstellt.",6,Receiver Operating Characteristic; ROC-Kurve; binäre Klassifikation; Schwellenwerte,Hauptfrage,What is the ROC curve?,The receiver operating characteristic (ROC) curve is a graphical plot that illustrates the performance of a binary classification model across different threshold settings.
