,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review,all_keywords_present,missing_keywords
52,52,Welche Rolle spielt die Regularisierung bei der Reduzierung von Overfitting?,"Regularisierung in Machine Learning reduziert Overfitting, indem sie übermäßig komplexe Modelle bestraft und einfachere Modelle fördert, die besser auf neue Daten verallgemeinern können.",6,Regularisierung; Overfitting; komplexes Modell; einfacheres Modell; Generalisierbarkeit,Hauptfrage,What is the role of regularization in reducing overfitting?,"Regularization in machine learning reduces overfitting by penalizing overly complex models, encouraging simpler models that generalize better to unseen data.",0.88865805,0.9508412,157,186,1.1847133757961783,59,76,1.2881355932203389,157,0.9860485948630909,False,False,komplexes modell;einfacheres modell;generalisierbarkeit
54,54,Was ist der Zweck von A/B-Tests im Data Science?,"A/B-Testing wird verwendet, um zwei oder mehr Versionen eines Produkts oder einer Intervention zu vergleichen und festzustellen, welche besser abschneidet basierend auf vordefinierten Metriken wie Konversionsrate oder Nutzerengagement.",6,A/B-Testing; Produkte oder Interventionen; vordefinierte Metriken; Konversionsrate; Nutzerengagement,Hauptfrage,What is the purpose of A/B testing in data science?,"A/B testing is used to compare two or more versions of a product or intervention to determine which one performs better based on predefined metrics, such as conversion rate or user engagement.",0.97155035,0.93059146,192,235,1.2239583333333333,51,48,0.9411764705882353,192,0.9860485948630909,False,False,produkte oder interventionen;vordefinierte metriken
56,56,Welche Rolle spielt das Feature Scaling in der Maschinenlernen?,"Feature Scaling im maschinellen Lernen stellt sicher, dass alle Merkmale die gleiche Skala oder den gleichen Bereich haben und verhindert so, dass bestimmte Merkmale während des Modelltrainings andere dominieren. Gemeinsame Skalierungstechniken sind das Min-Max-Skalieren und die Standardisierung.",6,Feature Scaling; gleiche Skala; Modelldominanz; Min-Max-Skalierung; Standardisierung,Hauptfrage,What is the role of feature scaling in machine learning?,"Feature scaling in machine learning ensures that all features have the same scale or range, preventing certain features from dominating others during model training. Common scaling techniques include min-max scaling and standardization.",0.85133064,0.9486902,236,297,1.2584745762711864,56,63,1.125,236,0.9860485948630909,False,False,modelldominanz;min-max-skalierung
57,57,Was ist der Unterschied zwischen Klassifikation und Clusterbildung?,"Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen. Clustering ist eine unüberwachte Lernaufgabe, deren Ziel es ist, ähnliche Datenpunkte aufgrund ihrer Merkmale zusammenzufassen.",5,Klassifikation; überwachte Lernens; Klassen vorhersagen; Clustering; unüberwachte Lernens; Daten zusammenfassen,Hauptfrage,What is the difference between classification and clustering?,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while clustering is an unsupervised learning task where the goal is to group similar data points together based on their features.",0.9359232,0.8818845,235,254,1.0808510638297872,61,67,1.098360655737705,235,-0.07421871144130825,False,False,überwachte lernens;klassen vorhersagen;unüberwachte lernens;daten zusammenfassen
59,59,Welche Rolle spielt Regularisierung in neuronalen Netzen?,"Regularisierung in neuronalen Netzen hilft, Überanpassung zu verhindern, indem Strafterme zur Verlustfunktion hinzugefügt werden. Dies fördert einfachere Modelle mit kleineren Gewichten oder weniger Verbindungen.",6,Regularisierung; neuronale Netze; Überanpassung; Strafterme; Verlustfunktion; einfache Modelle; Gewichte; Verbindungen,Hauptfrage,What is the role of regularization in neural networks?,"Regularization in neural networks helps prevent overfitting by adding penalty terms to the loss function, encouraging simpler models with smaller weights or fewer connections.",0.7770111,0.8198416,175,212,1.2114285714285715,54,57,1.0555555555555556,175,0.9860485948630909,False,False,neuronale netze;einfache modelle
63,63,Welche Rolle spielen Aktivierungsfunktionen in neuronalen Netzen?,"Aktivierungsfunktionen führen Nichtlinearität in neuronale Netze ein, wodurch sie komplexe Zuordnungen zwischen Eingaben und Ausgaben lernen können. Häufig verwendete Aktivierungsfunktionen sind Sigmoid, Tanh, ReLU und Softmax.",4,Aktivierungsfunktionen; Nichtlinearität; neuronale Netze; Lernen komplexer Zuordnungen; Sigmoid; Tanh; ReLU; Softmax,Hauptfrage,What is the role of activation functions in neural networks?,"Activation functions introduce non-linearity into neural networks, allowing them to learn complex mappings between inputs and outputs. Common activation functions include sigmoid, tanh, ReLU, and softmax.",0.79388237,0.84036946,204,227,1.1127450980392157,60,65,1.0833333333333333,204,-1.1344860177457075,False,False,lernen komplexer zuordnungen
66,66,Welche Rolle spielen LSTMs in sequenzbasierten Modellierungsaufgaben?,"Long Short-Term Memory (LSTM) Netzwerke sind eine Art rekurrenter neuronaler Netze, die so konzipiert wurden, um langfristige Abhängigkeiten und zeitliche Dynamiken in sequenziellen Daten zu erfassen. Dadurch eignen sie sich hervorragend für Aufgaben wie Sprachmodellierung und Zeitreihenvorhersage.",6,Long Short-Term Memory; rekurrenter neuronaler Netzwerk; langfristige Abhängigkeiten; zeitliche Dynamiken; sequenzielle Daten,Hauptfrage,What is the role of LSTMs in sequence modeling tasks?,"Long Short-Term Memory (LSTM) networks are a type of recurrent neural network (RNN) designed to capture long-range dependencies and temporal dynamics in sequential data, making them well-suited for tasks such as language modeling and time series prediction.",0.9126232,0.95976263,257,299,1.1634241245136188,53,69,1.3018867924528301,257,0.9860485948630909,False,False,rekurrenter neuronaler netzwerk;sequenzielle daten
68,68,Was ist der F1-Score und warum ist er nützlich bei der Modellbewertung?,"Der F1-Score ist die harmonische Mittelwertbildung von Präzision und Rückruf und bietet eine einzige Kennzahl zur Bewertung der Leistung eines Klassifikators, indem sowohl Präzision als auch Rückruf ausbalanciert werden. Er ist besonders nützlich bei ungleichmäßigen Datensätzen, bei denen eine Klasse viel häufiger vorkommt als die anderen.",6,F1-Score; harmonische Mittelwertbildung; Präzision; Rückruf; Modellbewertung; ungleichmäßige Datensätze,Hauptfrage,"What is the F1 score, and why is it useful in model evaluation?","The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier, balancing both precision and recall. It is particularly useful for imbalanced datasets where one class is much more prevalent than the others.",0.8646358,0.8537944,274,341,1.2445255474452555,63,71,1.126984126984127,274,0.9860485948630909,False,False,modellbewertung;ungleichmäßige datensätze
69,69,Was ist der Zweck von Wortembedding in der natürlichen Sprachverarbeitung (NLP)?,"Wortembedding ist eine Technik, die Wörter als dichte Vektoren in einem kontinuierlichen Vektorraum darstellt und dabei semantische Beziehungen zwischen den Worten erfasst. Dies ermöglicht neuronalen Netzwerken das effektivere Verarbeiten von Textdaten.",6,Wortembedding; dichte Vektoren; kontinuierlicher Vektorraum; semantische Beziehungen; neuronale Netze,Hauptfrage,What is the purpose of word embedding in natural language processing (NLP)?,"Word embedding is a technique used to represent words as dense vectors in a continuous vector space, capturing semantic relationships between words and enabling neural networks to process textual data more effectively.",0.9571129,0.8275838,218,253,1.1605504587155964,75,80,1.0666666666666667,218,0.9860485948630909,False,False,kontinuierlicher vektorraum;neuronale netze
71,71,Was ist der Zweck von Sentiment-Analyse in der natürlichen Sprachverarbeitung (NLP)?,"Sentimentanalyse ist eine Aufgabe der natürlichen Sprachverarbeitung, die darin besteht, die im Text ausgedrückte Stimmung oder Meinung zu bestimmen, wie z.B. positiv, negativ oder neutral. Sie wird häufig verwendet, um Kundenrezensionen, Social-Media-Posts und Umfrageantworten zu analysieren.",5,"Sentimentanalyse; natürliche Sprachverarbeitung (NLP); Stimmung oder Meinung; positiv, negativ, neutral; Kundenrezensionen, Social-Media-Posts, Umfrageantworten",Hauptfrage,What is the purpose of sentiment analysis in natural language processing (NLP)?,"Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text, such as positive, negative, or neutral. It is commonly used to analyze customer reviews, social media posts, and survey responses.",0.92150044,0.9637174,268,294,1.0970149253731343,79,84,1.0632911392405062,268,-0.07421871144130825,False,False,"natürliche sprachverarbeitung (nlp);positiv, negativ, neutral;kundenrezensionen, social-media-posts, umfrageantworten"
