,useable,callback,keywords,question_id
0,ja,"Können Sie erklären, wie verschiedene wissenschaftliche Disziplinen in Data Science zusammenwirken, um komplexe Probleme zu lösen?; Wie kommen standardisierte Vorgehensweisen aus der Wissenschaft zur Anwendung, um Datenanalysen systematisch durchzuführen?; Welche Rolle spielen spezifische Berechnungsschritte oder Regeln in Data Science bei der Analyse von großen Datensätzen?; Können Sie erläutern, wie technologische Infrastrukturen dabei helfen, Daten effizient zu verarbeiten und analysieren?; Wie wird aus der Interpretation von Daten neues Verständnis oder Erkenntnis gewonnen, das für Entscheidungsprozesse genutzt werden kann?",interdisziplinär; wissenschaftliche Methoden; Algorithmen; Systeme; Wissen,0
1,ja,"Können Sie beschreiben, wie man mit der Festlegung und Verfeinerung des Ziels eines Datenwissenschaftsprojekts beginnt?; Wie würden Sie die Phase charakterisieren, in der relevante Informationen aus verschiedenen Quellen gesammelt werden?; Welche Schritte sind notwendig, um rohe Daten zu reinigen und sie für Analysen geeignet zu machen?; Können Sie erklären, wie man die grundlegenden Eigenschaften eines Datensatzes erforscht, bevor man Modelle aufbaut?; Wie würden Sie den Prozess beschreiben, bei dem Algorithmen angewendet werden, um Muster in Daten zu erkennen und Vorhersagen zu treffen?; Auf welche Weise wird die Leistung eines entwickelten Modells objektiv beurteilt?; Welche Überlegungen sind wichtig, wenn es darum geht, ein erstelltes Modell in einer realen Umgebung zu implementieren?",Problemdefinition; Datenerhebung; Datenvorbereitung; explorative Datenanalyse; Modellierung; Bewertung; Deployment,1
2,ja,"Können Sie erläutern, bei welchem Lernalgorithmus der Algorithmus während des Trainings mit expliziten Ausgabewerten arbeitet, die den Eingaben zugeordnet sind?;Wie würden Sie solche Datensätze beschreiben, bei denen jede Beobachtung bereits eine bestimmte Kategorie oder einen Wert enthält, der ihre richtige Antwort angibt?;Welchen Begriff verwenden wir für die Eigenschaften oder Variablen in einem Datensatz, die als Grundlage für das Vorhersagemodell dienen?;Wie nennt man den spezifischen Ausgabewert oder die Klassifikation, die ein Modell für jede Eingabe vorhersagen soll?;Welche Art von maschinellem Lernen beschäftigt sich mit der Analyse von Daten, bei denen keine spezifischen Ausgabewerte gegeben sind, und versucht, versteckte Muster zu entdecken?;Wie werden Datensätze bezeichnet, in denen für die Eingabedaten keine spezifischen Etiketten oder Kategorien zur Verfügung stehen?;Können Sie das Konzept erklären, bei dem das System regelmäßige Strukturen oder wiederkehrende Merkmale innerhalb der Daten identifiziert?;Wie würden Sie die allgemeine Anordnung oder den Aufbau von Informationen beschreiben, die ein Lernalgorithmus aus unbeschrifteten Daten extrahieren könnte?",überwachtes Lernen; beschriftete Daten; Eingangsmerkmale; Zielbeschriftungen; unüberwachtes Lernen; unbeschriftete Daten; Muster; Strukturen,2
3,ja,"Sie haben erwähnt, wie ein Modell zu einfach sein kann und dadurch den durchschnittlichen Fehler im Training erhöht. Könnten Sie erläutern, welche Auswirkungen dies auf die Leistung des Modells hat?; Sie sprachen von einem Modell, das übermäßig komplex ist und kleine Änderungen in den Trainingsdaten stark beeinflusst. Wie würde sich das auf seine Fähigkeit auswirken, neue Daten zu verarbeiten?; Es scheint, als ob wir einen Kompromiss zwischen zwei Arten von Fehlern im Modell finden müssen. Können Sie beschreiben, wie dieser Kompromiss die Wahl des Modells beeinflusst?; Sie haben das Problem angesprochen, dass ein Modell zu simplifiziert sein kann und wichtige Muster in den Daten nicht erfasst. Was sind typische Anzeichen dafür, dass ein Modell unterangepasst ist?; In Ihrer Erklärung ging es darum, dass ein Modell zu spezifisch auf die Trainingsdaten reagiert und nicht gut auf neue Daten übertragen wird. Was könnten Sie tun, um dieses Problem in der Praxis zu vermeiden?",Bias; Variance; Tradeoff; Underfitting; Overfitting,3
4,ja,"Können Sie beschreiben, wie man aus einem Datensatz die relevantesten Informationen herausfiltert und warum dies wichtig ist?; Wie würden Sie erklären, dass Daten oft in eine andere Form gebracht werden müssen, um von maschinellen Lernmodellen besser verstanden zu werden?; Was verstehen Sie unter dem Erstellen neuer Variablen aus existierenden Daten und wie trägt dies zur Modellierung bei?; Welche Bedeutung haben die ursprünglichen, unverarbeiteten Daten in Bezug auf den Feature Engineering Prozess?; Warum ist es entscheidend, dass Merkmale so ausgewählt und transformiert werden, dass sie die Leistungsfähigkeit eines Modells maximieren?",Auswahl; Transformation; Erstellung; Rohdaten; Modellleistung,4
5,ja,"Könnten Sie erklären, welche Methoden zur Schätzung fehlender Werte in einem Datensatz verwendet werden und wie diese die Datenintegrität aufrechterhalten können?; Welche Technik würde man anwenden, wenn man fehlende numerische Werte durch das Durchschnitt der vorhandenen Daten ersetzt, um den Datensatz konsistent zu halten?; Wenn wir eine robustere Methode zur Schätzung von fehlenden Werten in einer Verteilung mit Ausreißern suchen, welche statistische Kennzahl könnte hierfür verwendet werden und warum?; Welche Technik ist geeignet, um fehlende kategoriale Daten durch den am häufigsten vorkommenden Wert zu ersetzen, und in welchen Szenarien könnte dies besonders nützlich sein?; Können Sie beschreiben, wie man maschinelle Lernverfahren nutzen kann, um fehlende Werte in einem Datensatz zu schätzen? Welche Arten von Modellen könnten hierfür geeignet sein?; Unter welchen Umständen könnte es sinnvoll sein, Zeilen oder Spalten mit fehlenden Werten vollständig aus einem Datensatz zu entfernen, und welche Auswirkungen hätte das auf die Analyse?",Imputationstechniken; Mittelwert-Imputation; Median-Imputation; Modus-Imputation; Vorhersagemodelle; Löschen,5
6,ja,"Könnten Sie ein konkretes Vorgehen oder eine Methode beschreiben, die in der Modellbewertung angewendet wird, um Unsicherheiten zu minimieren?;Auf welche Art von Modellen bezieht sich diese Bewertungstechnik, wenn es darum geht, zukünftige Daten oder Ergebnisse vorherzusagen?;Wie könnte man den Erfolg eines Modells messen, um sicherzustellen, dass es gut funktioniert?;Können Sie erklären, warum und wie die Daten in Teile aufgeteilt werden könnten, bevor sie zur Bewertung des Modells verwendet werden?",Technik; prädiktives Modell; Leistungsbewertung; Datenaufteilung,6
7,ja,"""Beim Overfitting spricht man oft davon, dass ein Algorithmus die Daten zu gut 'erfasst'. Worüber reden wir hier eigentlich genau?""; ""Overfitting bezieht sich darauf, wie gut oder schlecht ein bestimmter Datensatz während des Lernprozesses verarbeitet wird. Können Sie näher beschreiben, welche Art von Daten gemeint sind?""; ""Wenn wir sagen, dass das Modell Rauschen aufnimmt, was meinen wir damit? Welche Art von Störungen oder Unregelmäßigkeiten in den Daten könnten hier gemeint sein?""; ""Overfitting wird oft im Kontext eines echten 'Musters' der Daten diskutiert. Was verstehen wir unter diesem zugrunde liegenden Muster, das ein Modell erkennen soll?""","""Modell""; ""Trainingsdaten""; ""Rauschen""; ""zugrunde liegendes Muster""",7
8,ja,"Können Sie ein Modell beschreiben, das dazu dient, die Beziehung zwischen einer kontinuierlichen Zielvariable und eine oder mehrere unabhängige Variablen durch eine Geradenlinie zu modellieren?;Welches Verfahren nutzen wir, wenn es darum geht, Vorhersagen in Form von Wahrscheinlichkeiten für binäre Klassenlabel basierend auf kontinuierlichen Eingabedaten zu machen?;Erklären Sie ein Modell, das Entscheidungen durch eine Baumstruktur darstellt, in der Knoten die Tests an Merkmalen sind und Blätter den Ausgabewerten.;Was ist der Name für einen Ensemble-Lernalgorithmus, der mehrere Entscheidungsbäume kombiniert, um bessere Vorhersagen zu treffen und Überanpassung zu reduzieren?;Können Sie das Modell benennen, das ein geometrisches Konzept verwendet, um die besten Grenzen zwischen den Klassen in einem Feature-Raum zu finden?;Welcher Algorithmus basiert auf der Nachbildung neuronaler Verbindungen im Gehirn und wird häufig zur Modellierung komplexer nicht-linearer Beziehungen eingesetzt?",lineare Regression;logistische Regression;Entscheidungsbäume;Random Forests;Support Vector Machines;neuronale Netze,8
9,ja,"Könnten Sie erklären, auf welche Art von Datenkomponenten sich der Prozess der Dimensionsreduktion bezieht?; Auf welchen strukturierten Zusammenhang von Informationen wirkt sich die Dimensionsreduktion aus?; Wie würden Sie den endgültigen Zielraum beschreiben, in dem die Daten nach der Transformation liegen?; Was muss beim Reduzieren von Dimensionen beachtet werden, um sicherzustellen, dass die Kernaspekte der Analyse nicht verloren gehen?",Eingangsvariablen; Datensatz; Niedrigdimensionaler Raum; Wichtige Informationen,9
