,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
101,101,Welchen Zweck erfüllt die Hauptkomponentenanalyse (PCA) bei der Reduktion der Dimensionalität?,"Die Hauptkomponentenanalyse (PCA) wird verwendet, um die Dimensionalität eines Datensatzes zu reduzieren, indem die ursprünglichen Merkmale in eine neue Menge orthogonaler Hauptkomponenten transformiert werden. Diese Hauptkomponenten erfassen die maximale Varianz im Daten.",6,Hauptkomponentenanalyse; Dimensionalität reduzieren; orthogonale Hauptkomponenten; maximale Varianz,Hauptfrage,What is the purpose of principal component analysis (PCA) in dimensionality reduction?,"Principal Component Analysis (PCA) is used to reduce the dimensionality of a dataset by transforming the original features into a new set of orthogonal principal components, which capture the maximum variance in the data.",0.94277215,0.9461242,221,273,1.2352941176470589,86,94,1.0930232558139534,221,0.9860485948630909,False
102,102,Was ist der Unterschied zwischen k-Means und hierarchischer Clusteranalyse?,"Die K-Means-Clusteranalyse teilt die Daten in k Cluster auf, indem sie die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Die hierarchische Clusteranalyse erstellt hingegen eine baumartige Hierarchie von Clustern, indem sie rekursiv Clusters basierend auf Nähe zusammenführt oder teilt.",4,k-Means; hierarchische Clusteranalyse; Minimierung der Summe der quadrierten Abweichungen; baumartige Hierarchie; rekursive Zusammenführung/Splitting,Hauptfrage,What is the difference between k-means and hierarchical clustering?,"K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity.",0.92415226,0.8932445,239,307,1.284518828451883,67,75,1.1194029850746268,239,-1.1344860177457075,False
105,105,Was ist der Unterschied zwischen Bag-of-Words und Wortembeddings in der NLP?,"Bag-of-Words repräsentiert Texte als Sammlung von Wortzählungen oder -häufigkeiten, ohne die Wortreihenfolge und Grammatik zu berücksichtigen. Währenddessen repräsentieren Wortembeddings Wörter als dichte Vektoren im kontinuierlichen Vektorraum und erfassen semantische Beziehungen zwischen den Wörtern.",6,Bag-of-Words; Wortzählungen; Kontextinformationen; Semantik; Vektoren; Vektorraum,Hauptfrage,What is the difference between bag-of-words and word embeddings in NLP?,"Bag-of-words represents text as a collection of word counts or frequencies, ignoring word order and grammar, while word embeddings represent words as dense vectors in a continuous vector space, capturing semantic relationships between words.",0.9624336,0.93524086,241,303,1.2572614107883817,71,76,1.0704225352112675,241,0.9860485948630909,False
109,109,Was ist der Unterschied zwischen Deep Learning und traditionellen Machine-Learning-Algorithmen?,"Deep Learning umfasst neuronale Netze mit mehreren Schichten, die hierarchische Repräsentationen von Daten lernen können, während traditionelle Machine-Learning-Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.",6,Deep Learning; neuronale Netze; mehrere Schichten; hierarchische Repräsentationen; traditionelle Machine-Learning-Algorithmen; handgefertigte Merkmale; einfache Modelle,Hauptfrage,What is the difference between deep learning and traditional machine learning algorithms?,"Deep learning involves neural networks with multiple layers that can learn hierarchical representations of the data, while traditional machine learning algorithms typically use handcrafted features and simpler models.",0.9750378,0.9360634,217,245,1.1290322580645162,89,95,1.0674157303370786,217,0.9860485948630909,False
111,111,Was ist der Unterschied zwischen Convolutional Neural Networks (CNNs) und Recurrent Neural Networks (RNNs)?,"Convolutional Neural Networks (CNNs) sind gut geeignet für die Verarbeitung von gitterförmigen Daten wie Bildern, während rekursive neuronale Netzwerke (RNNs) entwickelt wurden, um sequenzielle Daten mit zeitlichen Abhängigkeiten wie Text oder Zeitreihen zu verarbeiten.",4,Convolutional Neural Networks; Recurrent Neural Networks; gitterförmige Daten; sequenzielle Daten; zeitliche Abhängigkeiten,Hauptfrage,What is the difference between convolutional neural networks (CNNs) and recurrent neural networks (RNNs)?,"Convolutional neural networks (CNNs) are well-suited for processing grid-like data such as images, while recurrent neural networks (RNNs) are designed to handle sequential data with temporal dependencies such as text or time series.",0.99197555,0.95908827,232,270,1.1637931034482758,105,107,1.019047619047619,232,-1.1344860177457075,False
114,114,Welchen Zweck hat Dropout-Regularisierung in neuronalen Netzen?,"Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um Überanpassung zu verhindern. Dabei werden während des Trainings zufällig ein Bruchteil der Neuronen ausgeschaltet. Dies zwingt das Netzwerk dazu, robustere Repräsentationen zu lernen und reduziert die Koadaptation zwischen den Neuronen.",6,Dropout-Regularisierung; Überanpassung; Neuronen ausschalten; robuste Repräsentationen; Koadaptation,Hauptfrage,What is the purpose of dropout regularization in neural networks?,Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training. It forces the network to learn more robust representations and reduces co-adaptation between neurons.,0.8061751,0.93275297,250,322,1.288,65,63,0.9692307692307692,250,0.9860485948630909,False
118,118,Was ist der Zweck des verstärkenden Lernens in der maschinellen Intelligenz?,"Verstärkendes Lernen ist ein Paradigma des maschinellen Lernens, bei dem ein Agent Entscheidungen durch Interaktion mit einer Umgebung lernt, um kumulative Belohnungen zu maximieren. Es wird häufig in Situationen eingesetzt, in denen Handlungen zukünftige Zustände beeinflussen und der Agent durch Versuch und Irrtum lernt.",4,verstärkendes Lernen; Entscheidungsfindung; Interaktion mit einer Umgebung; kumulative Belohnungen; Versuch und Irrtum,Hauptfrage,What is the purpose of reinforcement learning in machine learning?,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards. It is commonly used in settings where actions influence future states and the agent learns through trial and error.,0.76304305,0.86467975,276,323,1.1702898550724639,66,76,1.1515151515151516,276,-1.1344860177457075,False
119,119,Was ist der Unterschied zwischen Q-Learning und Policy Gradient Methoden im Reinforcement Learning?,"Q-Learning ist ein modellfreies Reinforcement-Learning-Algorithmus, der die optimale Aktion-Auswahl-Politik lernt, indem er iterativ eine Q-Wertefunktion aktualisiert. Im Gegensatz dazu parametrisieren Policy Gradient Methoden direkt die Politik und passen die Parameter der Politik basierend auf den Ableitungen der erwarteten Belohnungen an.",5,Q-Learning; modellfrei; Q-Wertefunktion; Policy Gradient; parametrisieren; erwartete Belohnungen,Hauptfrage,What is the difference between Q-learning and policy gradient methods in reinforcement learning?,"Q-learning is a model-free reinforcement learning algorithm that learns the optimal action-selection policy by iteratively updating a Q-value function, while policy gradient methods directly parameterize the policy and update the policy parameters based on gradients of expected rewards.",0.9632567,0.96482766,287,343,1.1951219512195121,96,99,1.03125,287,-0.07421871144130825,False
122,122,Was ist der Unterschied zwischen univariater und bivariater Analyse in der EDA?,"Univariate Analyse untersucht die Verteilung und deskriptive Statistiken einer einzelnen Variablen, während bivariate Analyse die Beziehung zwischen zwei Variablen erforscht.",4,univariate Analyse; bivariate Analyse; Verteilung; deskriptive Statistiken; Beziehung,Hauptfrage,What is the difference between univariate and bivariate analysis in EDA?,"Univariate analysis examines the distribution and summary statistics of a single variable, while bivariate analysis explores the relationship between two variables.",0.97045743,0.9593759,164,174,1.0609756097560976,72,79,1.0972222222222223,164,-1.1344860177457075,False
123,123,Was ist der Zweck der Datenvisualisierung in EDA?,"Datenvisualisierung in EDA hilft, die Struktur, Muster und Beziehungen in den Daten zu erkunden und zu verstehen. Sie liefert Einsichten, die sich möglicherweise nicht aus rohen Daten oder zusammenfassenden Statistiken allein ergeben.",6,Datenvisualisierung; EDA; Struktur; Muster; Beziehungen; Erkunden; Verstehen; Einsichten,Hauptfrage,What is the purpose of data visualization in EDA?,"Data visualization in EDA helps to explore and understand the structure, patterns, and relationships in the data. It provides insights that may not be apparent from raw data or summary statistics alone.",0.97600013,0.9667087,202,234,1.1584158415841583,49,49,1.0,202,0.9860485948630909,False
