id	question_de	answer_de	student_answer	transkript_stt_model	delta_original_answer	error_type	Fehlerbild	human_feedback	rueckfrage	human_score	max_points	keywords	question_type													
3	Erkläre das Bias-Variance-Trade-off.	Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.	Dieser Trade-off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welche durch Bias, also die Überanpassung und durch Varianz eingeführt wird.	Dieser Trade Off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welches durch Bias, also die über Anpassung und durch Varianz eingeführt wird.	unterschiedliche Schreibweise --> Überanpassung wird zu über Anpassung	1	Verwechslung in der Erklärung von genutzten Begrifflichkeiten, welche durch Rückfragen geklärt werden könnte.	1) Die Antwort wurde, bis auf eine Verwechslung in der Erklärung eines Begriffes, fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und größtenteils im richtigen Kontext verwendet. Bias wurde fälschlicherweise als Überanpassung bezeichnet 3) Die Fragestellung wurde beantwortet 4) Es wurden die Konzepte Bias und Varianz vermischt 5) Die Antwort ist an sich logisch aufgebaut, durch die Verwechslung wird allerdings fraglich, ob lediglich Aufregung oder ein falsches Verständnis die Nachvollziehbarkeit reduzierte.	3	4	6	"Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen"	Hauptfrage													
5	Wie gehst du mit fehlenden Daten in einem Datensatz um?	Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.	So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte durch NaN ersetzt werden, sodass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.	So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus infrage. Dabei können Vorhersagemodelle unterstützen, ist dies nicht sinnvoll möglich, können Werte durch None ersetzt werden, sodass diese in Berechnungen keine Berücksichtigung finden.Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.	NaN wird zu None	1	korrekte Umschreibung der Musterlösung mit anderen Worten	1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	0	6	6	"Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten"	Hauptfrage													
14	Was ist der Unterschied zwischen Klassifikation und Regression?	Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.	Beides sind überwachte Lernaufgaben, wobei Ersteres dazu dient Labels oder Klassen vorherzusagen und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.	Beides sind überwachte Lernaufgaben, wobei ersteres dazu dient, Labels oder Klassen vorherzusagen. Und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.	Null	0	Weglassen der in der Frage enthaltenen Schlagworte bei ansonsten korrekter Antwort.	1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe, welche nicht bereits in der Frage vorkamen, wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	0	4	4	"Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte"	Hauptfrage													
22	Was ist Regularisierung in neuronalen Netzwerken?	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf-Termen zur Verlustfunktion, um Overfitting zu verhindern.	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.	Null	0	Eins zu eins Musterlösung	1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	0	6	6	"Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting"	Hauptfrage													
28	Was ist Deep Learning?	Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.	Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit Maschinellem Lernen befasst.	Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit maschinellem Lernen befasst.	Null	0	Verdrehen von Zusammenhängen, Nichtbeantworten der eigentlichen Frage	1) Die Antwort war fachlich falsch und beantwortet nicht die Fragestellung 2) relevante Schlüsselbegriffe wurden in Teilen genannt aber nicht im richtigen Kontext verwendet 3) Die Fragestellung wurde nicht beantwortet 4) Es wurden Konzepte vermischt 5) Die Antwort ist auf Grund der logischen Brüche nicht nachvollziehbar.	3	0	5	"Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten"	Hauptfrage													
35	Was ist ein Markov-Entscheidungsprozess (MDP)?	Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.	Puh, da muss ich scharf nachdenken. Markov-Entscheidungsprozess hatte irgendwas mit einem Rahmenwerk zu tun. Da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann. Ein Agent spielte, glaube ich, auch eine Rolle.	Puh, da muss ich mal scharf nachdenken. Markov Entscheidungsprozess hatte irgendwas mit einem Rahmenwerk zu tun, da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann, Eina ganz spielte glaube ich auch eine Rolle.	ein Agent wird zu Eina ganz	2	Antwort mit Floskeln, die deutlich macht, dass man keine Ahnung hat, aber einige Schlagworte bringt	1) Die Antwort enthielt nur wenig fachlich korrekt dargestellte Inhalte 2) relevante Schlüsselbegriffe wurden genannt aber nicht in den richtigen Kontext gesetzt 3) Die Fragestellung wurde nicht beantwortet 4) Konzeptverständnis kann aus der Antwort nicht abgeleitet werden 5) Die Antwort ist schwammig und somit schwer nachvollziehbar.	3	1	4	"Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung"	Hauptfrage													
39	Was ist ein Autoencoder?	Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.	Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.	Das ist ein neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabe Schicht zu rekonstruieren.	andere Schreibweise: Ausgabeschicht wird zu Ausgabe Schicht	1	Umformulierung der korrekten Antwort	1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	0	4	4	"Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten"	Hauptfrage													
42	Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?	Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	Da bin ich mir nicht so sicher, aber ich glaube das bezog sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	Da bin ich mir nicht so sicher. Aber ich glaube, das bezog sich auf die Herausforderungen und Einschränkungen, die durch hoch dimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechen, Komplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	andere Schreibweise: Rechenkomplexität wird zu Rechen, Komplexität	2	Unsicherheit äußern, bei richtiger Antwort	1) Obwohl Unsicherheiten erkennbar sind, wurde die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort wird durch Unsicherheitsfloskeln länger als nötig, aber ist dennoch logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	0	6	6	"Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale"	Hauptfrage													
47	Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?	Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.	Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es das Quadrat der Summen der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt dagegen eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf dem größten Abstand zusammenführt.	Das K means clustering partitionierter die Daten in Cluster, indem es das Quadrat der Summe der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering er stellt dagegen eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf den größten Abstand zusammenführt.	Weglassen/Ändern von Buchstaben: k Cluster wird zu Cluster, Summen wird zu Summe, dem wird zu den	1	Verdrehen von Zusammenhängen	1) Die Antwort wurde nur in Teilen fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt, allerdings teilweise falsch erklärt 3) Die Fragestellung wurde beantwortet 4) Es wurden Zusammenhänge verdreht 5) Die Antwort ist daher nur in Teilen logisch aufgebaut. Das Verdrehen von Zusammenhängen erschwert die Nachvollziehbarkeit.	3	2,5	6	"k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting"	Hauptfrage													
49	Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?	Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.	Regularisierung fördert Modelle mit kleineren Koeffizienen oder wenigen Features.	Regularisierung fördert Modelle mit kleineren Koeffizienten oder wenigen Features.	Null	0	Teilantwort	1) Die Teilantwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden nur teilweise genannt, dann aber im richtigen Kontext 3) Die Fragestellung wurde nur in Teilen beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist fiel zu kurz aus. Der genannte Anteil ist aber logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.	2	4,5	6	"Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features"	Hauptfrage													
