id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
8,Welche gängigen Algorithmen werden in der überwachten Lernmethodik verwendet?,"Gängige Algorithmen sind die lineare Regression, logistische Regression, Entscheidungsbäume, Random Forests, Support Vector Machines und neuronale Netze.",3,lineare Regression; logistische Regression; Entscheidungsbäume; Random Forests; Support Vector Machines; neuronale Netze,Aufzählung,What are some common algorithms used in supervised learning?,"Common algorithms include linear regression, logistic regression, decision trees, random forests, support vector machines, and neural networks.",0.85599834,0.9305489,143,153,1.06993006993007,60,77,1.2833333333333334,143,-2.1947533240501067,True
16,Was ist der Fluch der Dimensionalität?,"Der Fluch der Dimensionalität bezieht sich auf das Phänomen, bei dem die Leistung bestimmter Algorithmen abnimmt, wenn die Anzahl der Merkmale oder Dimensionen in den Daten zunimmt.",4,Fluch der Dimensionalität; Algorithmenleistung; Anzahl der Merkmale; Dimensionen,Hauptfrage,What is the curse of dimensionality?,The curse of dimensionality refers to the phenomenon where the performance of certain algorithms deteriorates as the number of features or dimensions in the data increases.,0.7322204,0.8005874,172,181,1.052325581395349,36,38,1.0555555555555556,172,-1.1344860177457075,True
17,Was ist der Unterschied zwischen Präzision und Recall?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächliche positive Instanzen,Hauptfrage,What is the difference between precision and recall?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data.",0.76246107,0.71208954,230,248,1.0782608695652174,52,54,1.0384615384615385,230,-1.1344860177457075,True
20,Was ist die Varianz eines Schätzers?,Die Varianz eines Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert.,4,Varianz; Schätzer; Streuung; Variabilität; erwarteter Wert,Hauptfrage,What is the variance of an estimator?,The variance of an estimator measures the spread or variability of the estimator's values around its expected value.,0.61992264,0.7842263,116,115,0.9913793103448276,37,36,0.972972972972973,116,-1.1344860177457075,True
21,Was ist die Zentraler Grenzwertsatz?,"Der Zentrale Grenzwertsatz besagt, dass sich die Stichprobenverteilung des Stichprobenmittelwerts einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt.",4,Zentraler Grenzwertsatz; Stichprobenverteilung; Stichprobenmittelwert; Normalverteilung; Stichprobengröße,Hauptfrage,What is the Central Limit Theorem?,The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.,0.6585105,0.8501303,145,165,1.1379310344827587,34,36,1.0588235294117647,145,-1.1344860177457075,True
31,Was ist Verstärkerlernen?,"Verstärkerlernen ist ein maschinelles Lernparadigma, bei dem ein Agent lernt, Entscheidungen zu treffen, indem er mit einer Umgebung interagiert, um die kumulierten Belohnungen zu maximieren.",4,Verstärkerlernen; maschinelles Lernparadigma; Agent; Umgebung; Belohnungen,Hauptfrage,What is reinforcement learning?,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards.,0.7462442,0.87658346,160,191,1.19375,31,25,0.8064516129032258,160,-1.1344860177457075,True
33,Was ist das Exploration-Exploitation-Dilemma in der verstärkenden KI?,"Das Exploration-Exploitation-Dilemma bezieht sich auf die Zwickmühle, mit der Agenten der verstärkenden KI konfrontiert sind, wenn sie entscheiden müssen, ob sie neue Aktionen erkunden oder bekannte Aktionen nutzen sollen, um die Belohnungen zu maximieren.",6,Exploration; Exploitation; Dilemma; verstärkende KI; Agenten; Aktionen; Belohnungen,Hauptfrage,What is the exploration-exploitation tradeoff in reinforcement learning?,The exploration-exploitation tradeoff refers to the dilemma faced by reinforcement learning agents when deciding whether to explore new actions or exploit known actions to maximize rewards.,0.52621454,0.75096613,189,256,1.3544973544973544,72,69,0.9583333333333334,189,0.9860485948630909,True
67,Was ist der Unterschied zwischen Präzision und Recall bei Klassifikationsaufgaben?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiv vorhergesagten Instanzen eines Klassifizierers, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächlich positive Instanzen,Hauptfrage,What is the difference between precision and recall in classification tasks?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data.",0.8261006,0.718413,230,250,1.0869565217391304,76,82,1.0789473684210527,230,-1.1344860177457075,True
74,Was ist der Unterschied zwischen Präzision und Genauigkeit bei der Modellbewertung?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft. Genauigkeit misst hingegen den Anteil der korrekten Vorhersagen (sowohl wahre Positive als auch wahre Negative) unter allen getroffenen Vorhersagen.",5,Präzision; Genauigkeit; wahre positive Vorhersagen; korrekte Vorhersagen,Hauptfrage,What is the difference between precision and accuracy in model evaluation?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while accuracy measures the proportion of correct predictions (both true positives and true negatives) among all predictions made by the classifier.",0.89983416,0.690732,264,274,1.0378787878787878,74,83,1.1216216216216217,264,-0.07421871144130825,True
77,Was ist der Unterschied zwischen Korrelation und Kovarianz?,"Die Kovarianz misst den Grad, in dem sich zwei Variablen gemeinsam verändern, während die Korrelation sowohl die Stärke als auch die Richtung der linearen Beziehung zwischen zwei Variablen misst.",5,Kovarianz; Korrelation; Grad der Veränderung; Stärke und Richtung,Hauptfrage,What is the difference between correlation and covariance?,"Covariance measures the degree to which two variables change together, while correlation measures both the strength and direction of the linear relationship between two variables.",0.6519807,0.6951966,179,195,1.089385474860335,58,59,1.0172413793103448,179,-0.07421871144130825,True
