,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
152,152,Was ist der Zweck von t-Tests in der EDA?,"T-Tests in der EDA werden verwendet, um die Mittelwerte zweier unabhängiger Stichproben oder den Mittelwert einer Stichprobe mit einem bekannten Wert zu vergleichen. Sie helfen dabei festzustellen, ob beobachtete Unterschiede in den Mittelwerten statistisch signifikant sind.",6,t-Tests; unabhängige Stichproben; bekannter Wert; statistische Signifikanz,Hauptfrage,What is the purpose of t-tests in EDA?,T-tests in EDA are used to compare the means of two independent samples or the mean of a sample to a known value. They help to determine whether observed differences in means are statistically significant.,0.9889875,0.96700585,205,275,1.3414634146341464,38,41,1.0789473684210527,205,0.9860485948630909,False
154,154,Was ist der Zweck nicht-parametrischer Tests in EDA?,"Nicht-parametrische Tests in der EDA werden verwendet, wenn die Daten die Annahmen parametrischer Tests (z.B. Normalverteilung, Homogenität der Varianz) nicht erfüllen. Sie bieten robuste Alternativen zur Analyse von nicht normal verteilten oder verzerrten Daten.",4,nicht-parametrische Tests; EDA; Annahmen parametrischer Tests; Normalverteilung; Homogenität der Varianz; robuste Alternativen,Hauptfrage,What is the purpose of non-parametric tests in EDA?,"Non-parametric tests in EDA are used when the data does not meet the assumptions of parametric tests (e.g., normal distribution, homogeneity of variance). They provide robust alternatives for analyzing non-normally distributed or skewed data.",0.9426198,0.9402596,242,263,1.0867768595041323,51,52,1.0196078431372548,242,-1.1344860177457075,False
156,156,Was ist der Zweck der explorativen Faktorenanalyse (EFA) in der EDA?,"Die explorative Faktorenanalyse (EFA) im Rahmen der EDA wird verwendet, um zugrunde liegende Faktoren oder latente Variablen zu identifizieren, die die gemeinsame Varianz beobachteter Variablen erklären. Sie hilft dabei, die zugrunde liegende Struktur eines Datensatzes aufzudecken.",4,explorative Faktorenanalyse; EDA; zugrunde liegende Faktoren; latente Variablen; gemeinsame Varianz; beobachtete Variablen; Struktur eines Datensatzes,Hauptfrage,What is the purpose of exploratory factor analysis (EFA) in EDA?,Exploratory factor analysis (EFA) in EDA is used to identify underlying factors or latent variables that explain the common variance among observed variables. It helps to uncover the underlying structure of a dataset.,0.97978866,0.9629767,217,282,1.2995391705069124,64,68,1.0625,217,-1.1344860177457075,False
157,157,Was ist der Unterschied zwischen EFA und Hauptkomponentenanalyse (PCA) in der explorativen Datenanalyse?,"EFA und PCA sind beide Verfahren zur Reduktion der Dimensionalität, die in der explorativen Datenanalyse verwendet werden. Während EFA darauf abzielt, zugrunde liegende Faktoren zu identifizieren, die die gemeinsame Varianz zwischen den beobachteten Variablen erklären, zielt PCA darauf ab, die maximale Varianz im Datensatz mit orthogonalen Hauptkomponenten einzufangen.",6,EFA; PCA; Dimensionality Reduction; explorative Datenanalyse; zugrunde liegende Faktoren; gemeinsame Varianz; orthogonale Hauptkomponenten,Hauptfrage,What is the difference between EFA and principal component analysis (PCA) in EDA?,"EFA and PCA are both dimensionality reduction techniques used in EDA, but EFA aims to identify underlying factors that explain the common variance among observed variables, while PCA aims to capture the maximum variance in the data with orthogonal principal components.",0.9269795,0.94888383,269,371,1.379182156133829,81,104,1.2839506172839505,269,0.9860485948630909,False
160,160,Was ist der Unterschied zwischen K-Means-Clustering und hierarchischem Clustering in der EDA?,"K-Means-Clustering partitioniert die Daten in K Cluster, indem es die Summe der Quadrate innerhalb der Cluster minimiert. Hierarchisches Clustering erstellt eine baumartige Hierarchie von Clustern, indem es rekursiv auf der Grundlage der Nähe Cluster zusammenführt oder teilt.",6,K-Means-Clustering; hierarchisches Clustering; Summe der Quadrate; baumartige Hierarchie; rekursives Zusammenführen/Splitten,Hauptfrage,What is the difference between K-means clustering and hierarchical clustering in EDA?,"K-means clustering partitions the data into K clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity.",0.8907192,0.92813843,239,276,1.1548117154811715,85,93,1.0941176470588236,239,0.9860485948630909,False
161,161,Was ist der Zweck eines Dendrogramms in der hierarchischen Clusteranalyse während der EDA?,"Ein Dendrogramm in der hierarchischen Clusteranalyse visualisiert die hierarchische Beziehung zwischen Clustern, indem es die Reihenfolge des Zusammenführens und den Abstand zwischen Clustern darstellt. Es hilft dabei, die optimale Anzahl an Clustern zu identifizieren und die Ergebnisse der Clusteranalyse zu interpretieren.",6,Dendrogramm; hierarchische Beziehungen; Merging Order; Abstand; optimale Anzahl von Clustern,Hauptfrage,What is the purpose of dendrogram in hierarchical clustering in EDA?,A dendrogram in hierarchical clustering visualizes the hierarchical relationships between clusters by displaying the merging order and distance between clusters. It helps to identify the optimal number of clusters and interpret the clustering results.,0.9189507,0.9341706,251,325,1.294820717131474,68,90,1.3235294117647058,251,0.9860485948630909,False
163,163,Was ist der Zweck von Dimensionsreduktionstechniken in der EDA?,"Dimensionsreduktionstechniken in der EDA werden verwendet, um die Anzahl der Merkmale oder Variablen in einem Datensatz zu reduzieren und dabei die wichtigsten Informationen zu bewahren. Sie helfen, das Problem der hohen Dimensionalität zu überwinden und die Rechenleistung zu verbessern.",6,Dimensionsreduktion; EDA; Merkmalsreduktion; hochdimensionale Daten; Kurzformel der Dimensionalität,Hauptfrage,What is the purpose of dimensionality reduction techniques in EDA?,Dimensionality reduction techniques in EDA are used to reduce the number of features or variables in a dataset while preserving the most important information. They help to overcome the curse of dimensionality and improve computational efficiency.,0.9433576,0.9535417,247,288,1.165991902834008,66,63,0.9545454545454546,247,0.9860485948630909,False
164,164,Welche gängigen Techniken zur Dimensionsreduktion werden in der EDA verwendet?,"Gängige Techniken zur Dimensionsreduktion, die in der EDA verwendet werden, sind die Hauptkomponentenanalyse (PCA), die Faktorenanalyse, die t-distributed Stochastic Neighbor Embedding (t-SNE) und die lineare Diskriminanzanalyse (LDA).",6,Dimensionsreduktion; EDA; PCA; Faktorenanalyse; t-SNE; LDA,Aufzählung,What are some common dimensionality reduction techniques used in EDA?,"Common dimensionality reduction techniques used in EDA include principal component analysis (PCA), factor analysis, t-distributed stochastic neighbor embedding (t-SNE), and linear discriminant analysis (LDA).",0.9387553,0.9476963,208,235,1.1298076923076923,69,78,1.1304347826086956,208,0.9860485948630909,False
167,167,Was ist der Zweck von t-SNE in der EDA?,"t-Distributed Stochastic Neighbor Embedding (t-SNE) in der EDA ist eine Technik, die zur Visualisierung hochdimensionaler Daten in einem niedrigdimensionalen Raum verwendet wird, wobei die lokale Struktur und die Beziehungen zwischen den Datenpunkten erhalten bleiben. Sie wird häufig zur Visualisierung von Clustern und Mustern in komplexen Datensätzen eingesetzt.",6,t-SNE; Visualisierung; hochdimensionale Daten; niedrigdimensionaler Raum; lokale Struktur; Cluster; Muster,Hauptfrage,What is the purpose of t-SNE in EDA?,t-Distributed Stochastic Neighbor Embedding (t-SNE) in EDA is a technique used for visualizing high-dimensional data in a lower-dimensional space while preserving the local structure and relationships between data points. It is commonly used for visualizing clusters and patterns in complex datasets.,0.97521406,0.9794028,300,365,1.2166666666666666,36,39,1.0833333333333333,300,0.9860485948630909,False
171,171,Was ist der Zweck von Ensemble-Methoden in der EDA?,"Ensemble-Methoden in der EDA kombinieren mehrere Modelle oder Algorithmen, um die Vorhersageleistung, Robustheit und Generalisierungsfähigkeit zu verbessern. Sie helfen dabei, Überanpassung zu reduzieren und vielfältige Muster im Datenmaterial aufzudecken.",6,Ensemble-Methoden; Vorhersageleistung; Robustheit; Generalisierungsfähigkeit; Überanpassung,Hauptfrage,What is the purpose of ensemble methods in EDA?,"Ensemble methods in EDA combine multiple models or algorithms to improve predictive performance, robustness, and generalization. They help to reduce overfitting and capture diverse patterns in the data.",0.94389844,0.9582192,202,256,1.2673267326732673,47,51,1.0851063829787233,202,0.9860485948630909,False
