,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review,all_keywords_present,missing_keywords
3,3,Erkläre das Bias-Variance-Trade-off.,"Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",6,Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen,Hauptfrage,Explain the bias-variance tradeoff.,The bias-variance tradeoff is the balance between the error introduced by bias (underfitting) and the error introduced by variance (overfitting) when building a machine learning model.,0.91169405,0.86723036,184,214,1.1630434782608696,35,36,1.0285714285714285,184,0.9860485948630909,False,False,maschinelles lernen
5,5,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.",6,Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten,Hauptfrage,How do you handle missing data in a dataset?,"Missing data can be handled by imputation techniques such as mean, median, or mode imputation, using predictive models to estimate missing values, or by deleting rows or columns with missing values, depending on the dataset size and nature.",0.8963437,0.7685456,240,316,1.3166666666666667,44,55,1.25,240,0.9860485948630909,False,False,löschen von zeilen oder spalten
14,14,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.",4,Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,Hauptfrage,What is the difference between classification and regression?,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while regression is a supervised learning task where the goal is to predict continuous numerical values.",0.9776134,0.9129466,209,276,1.3205741626794258,61,63,1.0327868852459017,209,-1.1344860177457075,False,False,überwachtes lernen
22,22,Was ist Regularisierung in neuronalen Netzwerken?,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.",6,Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting,Hauptfrage,What is regularization in neural networks?,Regularization in neural networks involves adding penalty terms to the loss function to prevent overfitting.,0.8208641,0.8181591,108,133,1.2314814814814814,42,49,1.1666666666666667,108,0.9860485948630909,False,False,neuronale netzwerke
28,28,Was ist Deep Learning?,"Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten,Hauptfrage,What is deep learning?,Deep learning is a subset of machine learning that focuses on artificial neural networks with multiple layers.,0.98625576,0.948858,110,133,1.209090909090909,22,22,1.0,110,-0.07421871144130825,False,False,mehrere schichten
35,35,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.",4,Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung,Hauptfrage,What is a Markov decision process (MDP)?,A Markov decision process (MDP) is a mathematical framework used to model sequential decision-making problems in which an agent interacts with an environment.,0.98546124,0.9830067,158,202,1.2784810126582278,40,46,1.15,158,-1.1344860177457075,False,False,sequenzielle entscheidungsprobleme
39,39,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten,Hauptfrage,What is autoencoder?,An autoencoder is a type of neural network architecture that is trained to reconstruct its input data at the output layer.,0.89831805,0.91142976,122,147,1.2049180327868851,20,24,1.2,122,-1.1344860177457075,False,False,neuronale netzarchitektur
42,42,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale,Hauptfrage,What is the curse of dimensionality in the context of feature selection?,"The curse of dimensionality in feature selection refers to the challenges and limitations posed by high-dimensional data, such as increased computational complexity and difficulty in finding meaningful features.",0.7680554,0.8725763,211,255,1.2085308056872037,72,71,0.9861111111111112,211,0.9860485948630909,False,False,sinnvolle merkmale
47,47,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.",6,k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting,Hauptfrage,What is the difference between k-means and hierarchical clustering?,"K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity.",0.90417176,0.92180115,239,309,1.292887029288703,67,82,1.2238805970149254,239,0.9860485948630909,False,False,partitionierung;hierarchisches clustering;rekursive mergen/splitting
49,49,Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?,"Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features,Hauptfrage,What is the role of regularization in reducing model complexity?,"Regularization in machine learning reduces model complexity by adding penalty terms to the loss function, encouraging simpler models with smaller coefficients or fewer features.",0.93405473,0.9542132,177,203,1.1468926553672316,64,80,1.25,177,0.9860485948630909,False,True,
