	id	question_de	answer_de	max_points	keywords	points_z	student_answer	transkript_stt_model	error_type	human_score	human_feedback_bullets	human_feedback	rueckfrage	model														
3	3	Erkläre das Bias-Variance-Trade-off.	Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.	6	"Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen"	9.860.485.948.630.900	Dieser Trade Off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welches durch Bias, also die über Anpassung und durch Varianz eingeführt wird.	Dieser Trade Off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welches durch Bias, also die über Anpassung und durch Varianz eingeführt wird.	0	2	"1) Es liegt ein wesentlicher fachlicher Fehler vor: Bias wird fälschlich mit Überanpassung gleichgesetzt, was inhaltlich falsch ist (Bias = Unteranpassung).
2) Begriffe wie Bias, Varianz und Trade-off werden zwar genannt, aber Bias wird im falschen Kontext verwendet. Dadurch ist die fachliche Terminologie nicht korrekt eingesetzt.
3) Der zentrale Gedanke des Bias-Variance-Trade-offs (Spannung zwischen Unter- und Überanpassung sowie deren Einfluss auf den Modellfehler) wird nicht vollständig erläutert.
4) Bias und Varianz werden vermischt, da Überanpassung dem falschen Begriff zugeordnet wird.
5) Der Satz ist grundsätzlich verständlich und folgt einer logischen Struktur, aber die fachlichen Fehler beeinträchtigen die Nachvollziehbarkeit für den Prüfer."	Die Antwort erkennt den Trade-off und nennt Bias und Varianz, enthält jedoch einen zentralen fachlichen Fehler: Bias wird fälschlich als Überanpassung beschrieben. Wichtige Aspekte und eine klare Abgrenzung der Begriffe fehlen, sodass die Antwort inhaltlich ungenau und zu oberflächlich bleibt.	3	gemma3:27b														
5	5	Wie gehst du mit fehlenden Daten in einem Datensatz um?	Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.	6	"Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten"	9.860.485.948.630.900	So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte. NAN ersetzt werden. So dass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.	So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte. NAN ersetzt werden. So dass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.	1	6	1) Die beschriebenen Vorgehensweisen (Imputation, Vorhersagemodelle, Löschen von Daten) sind fachlich korrekt. Es liegt kein wesentlicher inhaltlicher Fehler vor. 2) Begriffe wie Mittelwert, Median, Modus, Vorhersagemodelle, NaN sowie Löschen von Zeilen/Spalten werden korrekt und im passenden Kontext verwendet. 3) Die Antwort geht auf alle zentralen Möglichkeiten im Umgang mit fehlenden Daten ein: Imputation, modellbasierte Schätzung und Entfernen von Daten. 4) Die Konzepte werden nicht vermischt. 5) Die Antwort ist nachvollziehbar, sprachlich präzise und gut strukturiert.	Die Antwort beschreibt gängige und fachlich korrekte Methoden zum Umgang mit fehlenden Daten, insbesondere Imputation und das Löschen von Zeilen oder Spalten. Die relevanten Fachbegriffe werden überwiegend korrekt verwendet. Leichte Unklarheiten bestehen bei der Beschreibung von NaN sowie in der sprachlichen Struktur, insgesamt ist die Antwort jedoch inhaltlich vollständig und nachvollziehbar.	0	gemma3:27b														
14	14	Was ist der Unterschied zwischen Klassifikation und Regression?	Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.	4	"Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte"	-11.344.860.177.457.000	Beides sind überwachte Lernaufgaben, wobei ersteres dazu dient, Labels oder Klassen vorherzusagen. Und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.	Beides sind überwachte Lernaufgaben, wobei ersteres dazu dient, Labels oder Klassen vorherzusagen. Und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.	0	4	"1) Die Unterschiede zwischen Klassifikation und Regression werden korrekt beschrieben, und es sind keine fachlichen Fehler enthalten.
2) Begriffe wie „Labels“, „Klassen“, „kontinuierliche numerische Werte“ sowie die Einordnung als „überwachte Lernaufgaben“ werden korrekt und im richtigen Kontext verwendet.
3) Sowohl die Klassifikation als auch die Regression werden vollständig behandelt, inklusive Zielsetzung und Art der vorhergesagten Werte.
4) Klassifikation und Regression werden klar voneinander abgegrenzt, und es findet keine Vermischung der Konzepte statt.
5) Die Antwort ist kurz, aber klar strukturiert, leicht verständlich und nachvollziehbar formuliert."	Die Antwort beschreibt die Unterschiede zwischen Klassifikation und Regression fachlich korrekt und vollständig. Die relevanten Fachbegriffe werden angemessen und im richtigen Kontext verwendet, und die beiden Konzepte werden klar voneinander abgegrenzt. Die Antwort ist logisch aufgebaut, verständlich formuliert und für den Prüfer gut nachvollziehbar.	0	gemma3:27b														
22	22	Was ist Regularisierung in neuronalen Netzwerken?	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.	6	"Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting"	9.860.485.948.630.900	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf Themen, so Verlustfunktion, um Rohr Fitting zu verhindern.	Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf Themen, so Verlustfunktion, um Rohr Fitting zu verhindern.	3	6	"1) Fachliche Korrektheit: korrekt, keine wesentlichen Fehler.
2) Schlüsselbegriffe: richtig verwendet (Regularisierung, neuronale Netzwerke, Straf-Terme, Verlustfunktion, Overfitting).
3) Wesentliche Aspekte: Grundidee abgedeckt
4) Klarheit/Differenzierung: Regularisierung und Overfitting korrekt unterschieden.
5) Logik/Verständlichkeit: logisch und verständlich."	Fachlich korrekt und Schlüsselbegriffe richtig verwendet. Grundidee der Regularisierung gegen Overfitting wird genannt. Klar und verständlich.	0	gemma3:27b														
28	28	Was ist Deep Learning?	Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.	5	"Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten"	-7.421.871.144.130.820	Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit maschinellem Lernen befasst.	Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit maschinellem Lernen befasst.	0	0	"1) Fachliche Korrektheit:
Die Antwort ist falsch. Sie stellt Machine Learning als Untergebiet von Deep Learning dar, während korrekt Deep Learning ein Untergebiet von Machine Learning ist. Außerdem beschreibt sie den Inhalt nur allgemein („Maschinelles Lernen“), ohne die Spezifik von Deep Learning (mehrschichtige neuronale Netze) zu nennen.

2) Verwendung relevanter Schlüsselbegriffe:
Begriffe wie Machine Learning und Deep Learning werden verwendet, aber falsch eingeordnet. Der Zusammenhang ist dadurch fachlich inkorrekt. Weitere relevante Begriffe wie künstliche neuronale Netze oder mehrere Schichten fehlen komplett.

3) Abdeckung wesentlicher Aspekte:
Zentrale Aspekte der Fragestellung bleiben unbeantwortet. Die Definition von Deep Learning und seine Spezifikationen werden nicht genannt.

4) Klarheit/Differenzierung der Konzepte:
Machine Learning und Deep Learning werden nicht korrekt differenziert; die Hierarchie wird falsch dargestellt.

5) Logik/Verständlichkeit:
Die Antwort ist formal verständlich, aber inhaltlich irreführend."	Die Antwort ist leider falsch: Deep Learning ist ein Untergebiet von Machine Learning, nicht umgekehrt. Außerdem fehlt die Spezifik, dass Deep Learning mehrschichtige künstliche neuronale Netze nutzt.	3	gemma3:27b														
35	35	Was ist ein Markov-Entscheidungsprozess (MDP)?	Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.	4	"Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung"	-11.344.860.177.457.000	Puh, da muss ich scharf nachdenken. Markov Entscheidungsprozesse hatten irgendwas mit einem Rahmenwerk zu tun, da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann, ein Agent spielte glaube ich auch eine Rolle.	Puh, da muss ich scharf nachdenken. Markov Entscheidungsprozesse hatten irgendwas mit einem Rahmenwerk zu tun, da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann, ein Agent spielte glaube ich auch eine Rolle.	0	2,5	"1) Ja, der Student hat den Sachverhalt grundsätzlich fachlich korrekt dargestellt; es gibt keine wesentlichen Fehler oder falsche Zusammenhänge.
2) Teilweise, einige relevante Schlüsselbegriffe wie „sequenzielle Entscheidungsprobleme“ und „Interaktion mit der Umgebung“ wurden nicht genannt oder nur angedeutet.
3) Nein, zentrale Punkte wie die Interaktion mit der Umgebung und die Sequenzialität der Entscheidungsprobleme bleiben unbeantwortet.
4) Ja, die Konzepte „Rahmenwerk“ und „Agent“ werden klar angesprochen und nicht miteinander vermischt.
5) Teilweise, die Antwort ist verständlich, aber etwas unsicher formuliert („glaube ich“) und unvollständig."	"Grundsätzlich korrekt: Ein Rahmenwerk und ein Agent werden erwähnt.
Fehlt: „sequenzielle Entscheidungsprobleme“ und „Interaktion mit der Umgebung“.
Formulierung unsicher („glaube ich“)."	2	gemma3:27b														
39	39	Was ist ein Autoencoder?	Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.	4	"Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten"	-11.344.860.177.457.000	Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabe Schicht zu rekonstruieren.	Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabe Schicht zu rekonstruieren.	0	3,5	"1) Fachlich korrekt: Die Antwort ist größtenteils korrekt, nur „spezialisiert“ ist weniger präzise als „trainiert“.
2) Schlüsselbegriffe: Einige wichtige Fachbegriffe wie „Autoencoder“ und „trainiert“ fehlen.
3) Vollständigkeit: Wesentliche Aspekte wie das Trainingsprinzip werden nicht erwähnt.
4) Konzepttrennung: Die Konzepte werden korrekt getrennt und nicht vermischt.
5) Verständlichkeit: Die Antwort ist klar, logisch aufgebaut und gut nachvollziehbar."	Die Antwort ist größtenteils korrekt und verständlich formuliert, allerdings fehlen wichtige Fachbegriffe wie ‚Autoencoder‘ und der Aspekt des Trainings, weshalb die Erklärung nicht vollständig ist. Die Konzepte werden klar voneinander getrennt, sodass die Antwort logisch nachvollziehbar bleibt.	1	gemma3:27b														
42	42	Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?	Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	6	"Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale"	9.860.485.948.630.900	Da bin ich mir nicht so sicher. Aber ich glaube, das bezog sich auf die Herausforderungen und Einschränkungen, die durch hoch dimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechen, Komplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	Da bin ich mir nicht so sicher. Aber ich glaube, das bezog sich auf die Herausforderungen und Einschränkungen, die durch hoch dimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechen, Komplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.	1	4	"1) Die Antwort ist fachlich im Kern korrekt und enthält keine falschen Zusammenhänge, bleibt jedoch sehr allgemein und wenig präzise.
2) Relevante Schlüsselbegriffe wie hochdimensionale Daten, Rechenkomplexität und Merkmalsidentifikation werden korrekt, aber unsicher und ohne klare Einbettung verwendet.
3) Zentrale Aspekte des Fluchs der Dimensionalität werden nur teilweise angesprochen; wichtige Punkte wie Datenverknappung oder Overfitting fehlen.
4) Die genannten Konzepte werden nicht vermischt, jedoch auch nicht klar voneinander abgegrenzt oder erläutert.
5) Die Antwort ist grundsätzlich nachvollziehbar, leidet aber unter unsicherer Formulierung und mangelnder Struktur."	Inhaltlich größtenteils korrekt und relevant, aber unvollständig und unsicher formuliert. Für die volle Punktzahl wäre eine präzisere und vollständigere Erklärung nötig.	2	gemma3:27b														
47	47	Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?	Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.	6	"k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting"	9.860.485.948.630.900	Das k means clustering Party tioniert die Daten in K Cluster, indem es das Quadrat der Summe der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering. Wer ist dagegen? Eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf den größten Abstand zusammenführt.	Das k means clustering Party tioniert die Daten in K Cluster, indem es das Quadrat der Summe der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering. Wer ist dagegen? Eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf den größten Abstand zusammenführt.	2	4	"1) Die Antwort stellt den grundlegenden Unterschied korrekt dar, enthält jedoch fachliche Ungenauigkeiten bei der Zielfunktion von k-Means und beim Distanzkriterium des hierarchischen Clustering.
2) Zentrale Schlüsselbegriffe wie k-Means, Cluster, Abweichungen und Hierarchie werden verwendet, jedoch teilweise inhaltlich ungenau eingesetzt.
3) Die wesentlichen Aspekte beider Verfahren werden angesprochen, allerdings ohne vollständige oder präzise Ausführung.
4) Die Konzepte werden grundsätzlich unterschieden, jedoch führen die Ungenauigkeiten zu einer leicht verzerrten Darstellung.
5) Die Antwort ist logisch aufgebaut und gut verständlich, auch wenn die fachliche Präzision verbesserungsbedürftig ist."	Das Verständnis des grundlegenden Unterschieds ist vorhanden, aber es gibt fachliche Ungenauigkeiten bei beiden Methoden, die eine volle Punktzahl verhindern.	3	gemma3:27b														
49	49	Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?	Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.	6	"Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features"	9.860.485.948.630.900	Regularisierung fördert Modelle mit kleineren Koeffizienten oder wenigen Features.	Regularisierung fördert Modelle mit kleineren Koeffizienten oder wenigen Features.	0	3	"1) Die Aussage ist fachlich korrekt, beschreibt jedoch nur einen Teilaspekt der Regularisierung.
2) Relevante Schlüsselbegriffe wie Regularisierung, Koeffizienten und Features werden korrekt, aber sehr knapp verwendet.
3) Zentrale Aspekte wie der Einsatz von Straftermen in der Verlustfunktion bleiben unbeantwortet.
4) Die genannten Konzepte werden nicht vermischt, jedoch auch nicht weiter differenziert.
5) Die Antwort ist verständlich, aber aufgrund ihrer Kürze wenig aussagekräftig."	Die Antwort trifft den Kern der Wirkung, lässt jedoch den eigentlichen Mechanismus der Regularisierung aus und bleibt stark verkürzt.	2	gemma3:27b														
